Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,World,Primary Energy|Biomass,EJ/yr,,46.1461,46.5557,47.0266,47.9278,49.4106,53.1333,65.9797,94.579,109.2555,115.582,121.3835,138.4694,156.5474,168.7299,177.7505,185.6837,192.9902,200.5664,207.7191,214.1394
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,World,Temperature|Global Mean,°C,,0.9167,0.9816,0,1.2295,0,1.4394,0,1.5815,0,1.6534,0,1.695,0,1.7267,0,1.7417,0,1.7468,0,1.7428
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,World,Emissions|CO2|Industrial Processes,Mt CO2/yr,,1774.0955,1971.8121,1845.1994,1812.3567,1738.3035,1733.2569,1739.3856,1740.0504,1773.4112,1807.8546,1831.6271,1833.5632,1826.7596,1801.7218,1792.6145,1787.2763,1782.0495,1777.1942,1780.4581,1786.6151
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,World,Emissions|CO2,Mt CO2/yr,,34690.406,38603.6872,41952.3638,45706.4089,48962.1639,51280.0761,53806.9972,56088.1819,58163.8612,59589.6308,61035.5463,62025.5946,63135.5696,64406.1363,65638.6728,66787.1443,68186.4211,69526.4072,70778.5317,72037.9523
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,World,Emissions|CO2|AFOLU,Mt CO2/yr,,4777.8507,5870.0216,5927.6123,5923.2828,5618.9561,4756.0864,4187.4015,3776.6634,3485.4362,2933.139,3257.8916,2923.3981,2635.3625,2399.1554,2167.4558,1806.2188,1547.1016,1363.5994,1071.961,868.2937
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,World,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,29818.8701,32636.06,35921.9599,39674.9036,43229.908,46406.1157,49497.7417,52185.9727,54549.3797,56524.1974,57642.2117,58963.5713,60358.4512,61862.1945,63323.543,64830.5075,66486.2772,68007.1943,69548.4447,71009.2369
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,World,Emissions|CO2|Other,Mt CO2/yr,,93.6853,97.6057,102.7915,108.2225,113.2998,117.874,121.8541,125.5458,129.0453,132.2945,135.443,138.6251,141.7558,144.7864,147.6739,150.418,153.0423,155.6136,158.126,160.4217
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,World,Primary Energy|Biomass,EJ/yr,,46.1461,46.5562,47.0604,47.9342,48.8216,49.7285,50.8157,52.5022,55.5674,59.381,63.7323,68.5166,73.7548,79.6882,86.1281,91.9867,94.8773,98.3266,101.4752,105.1761
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,World,Temperature|Global Mean,°C,,0.9167,0.9808,0,1.2443,0,1.5378,0,1.8706,0,2.2203,0,2.5638,0,2.9131,0,3.2624,0,3.6068,0,3.9368
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,World,Emissions|CO2|Industrial Processes,Mt CO2/yr,,1774.0955,1971.813,2176.0355,2391.2842,2574.6334,2719.4888,2833.0853,2926.7734,3003.7446,3061.9587,3110.4839,3154.052,3192.0688,3224.158,3248.6961,3268.4966,3283.8917,3295.7601,3312.9424,3328.5313
